"i","psi_true","tmle_sl","tmle_se_sl","tmle_lower_sl","tmle_upper_sl","cvtmle_sl","cvtmle_se_sl","cvtmle_lower_sl","cvtmle_upper_sl","cvaiptw_sl","cvaiptw_se_sl","cvaiptw_lower_sl","cvaiptw_upper_sl","tmle_underhal","tmle_lower_underhal","tmle_upper_underhal"
262,0.1153,0.0923242647006803,0.031916116552832,0.029769825730747,0.154878703670614,0.0882065060819546,0.0321742377050771,0.0251461589499729,0.151266853213936,0.0929949767167875,0.869277963329888,0.0391165703520579,0.146873383081517,0.0984110113048524,0.0405424403981268,0.156279582211578
263,0.1153,0.118948760312419,0.0261350383454008,0.0677250264208604,0.170172494203978,0.114695355747491,0.0265344624261919,0.0626887650430236,0.166701946451958,0.116904470367497,0.736166081288037,0.0712764239280925,0.162532516806902,0.12489714324787,0.0745787050850782,0.175215581410662
264,0.1153,0.101438379280209,0.0237598699560492,0.0548698898889974,0.148006868671421,0.0969585842773936,0.0242185596846704,0.0494910795380059,0.144426089016781,0.100936043105313,0.701055211908353,0.0574841908961297,0.144387895314495,0.104671943770429,0.0574969601887813,0.151846927352076
265,0.1153,0.139982266174009,0.0268413979065877,0.0873740929823884,0.19259043936563,0.12845326880698,0.0281617858201818,0.0732571828590933,0.183649354754868,0.132635697708754,0.7586259518713,0.0856155740682333,0.179655821349275,0.139939590543405,0.0858482741410884,0.194030906945722
266,0.1153,0.0968501450901761,0.025631850788766,0.0466126406870903,0.147087649493262,0.0940561753704085,0.0260264825615328,0.0430452069055444,0.145067143835273,0.0974455016490973,0.743524141086729,0.0513613979384701,0.143529605359724,0.108656343057218,0.0600976489230724,0.157215037191363
267,0.1153,0.136119389642471,0.0264931822263938,0.0841937066428823,0.18804507264206,0.134965833134816,0.0266621552749461,0.0827089690457073,0.187222697223925,0.134947611886861,0.74091691786338,0.0890251055458174,0.180870118227904,0.135472230064207,0.0714979029402772,0.199446557188137
268,0.1153,0.0918849996509332,0.0335673116949974,0.0260942776709082,0.157675721630958,0.0886784214606711,0.0356500323707413,0.018805641966331,0.158551200955011,0.0927287520408767,0.941445790315169,0.0343773374178016,0.151080166663952,0.104785250891975,0.0405235913895475,0.169046910394403
269,0.1153,0.107499874826137,0.0257555926299774,0.0570198408708958,0.157979908781378,0.0918545446588797,0.0272186195643034,0.0385070306039477,0.145202058713812,0.0980217851900135,0.781192735302115,0.049602957821432,0.146440612558595,0.107370007041151,0.0567628053239592,0.157977208758342
270,0.1153,0.133943082617902,0.025963337971504,0.0830558752753128,0.184830289960491,0.121566703328715,0.0267478712361301,0.0691418390427851,0.173991567614645,0.128939146910416,0.725971691272416,0.0839429553103982,0.173935338510435,0.139060278571469,0.0902786776521242,0.187841879490815
271,0.1153,0.126909298412982,0.0284218440312263,0.071203507737564,0.1826150890884,0.122911359482083,0.0285503697319548,0.0669536630621494,0.178869055902017,0.129048991070361,0.76169807921156,0.0818384550045573,0.176259527136165,0.136160306391431,0.0822921078740518,0.19002850490881
272,0.1153,0.146955492563039,0.0270448675469573,0.0939485262043462,0.199962458921731,0.140794856429008,0.0276486224622339,0.0866045521808848,0.194985160677132,0.148106946329527,0.758982244851522,0.101064739421302,0.195149153237752,0.152805340213749,0.101953995951004,0.203656684476495
273,0.1153,0.122263625747867,0.0255842134133604,0.0721194888848938,0.17240776261084,0.0905209592698497,0.0331809468202638,0.0254874985291939,0.155554420010505,0.116183184727278,0.762304371871638,0.0689350702530782,0.163431299201478,0.11860400707532,0.063537408653646,0.173670605496995
274,0.1153,0.151480489520897,0.025793705766678,0.100925755190385,0.202035223851409,0.14678937925308,0.0261548264116758,0.0955268614642988,0.198051897041862,0.147428110908501,0.698157728174985,0.104155846601701,0.190700375215302,0.156310035988153,0.106080578225766,0.20653949375054
275,0.1153,0.108396013469202,0.0254670040502012,0.0584816027366718,0.158310424201732,0.102591872522081,0.0269208958523097,0.0498278862200003,0.155355858824162,0.109165400059928,0.754759198549349,0.0623849402732961,0.155945859846561,0.109918823025764,0.0593754349938069,0.16046221105772
