"i","psi_true","tmle_sl","epsilon_sl","tmle_se_sl","tmle_lower_sl","tmle_upper_sl","cvtmle_sl","cvtmle_se_sl","cvtmle_lower_sl","cvtmle_upper_sl","cvaiptw_sl","cvaiptw_se_sl","cvaiptw_lower_sl","cvaiptw_upper_sl","tmle_underhal","epsilon_underhal","tmle_lower_underhal","tmle_upper_underhal"
44,0.1153,0.100380874403273,0.0466578523438939,0.0407396533916061,0.0205326210130797,0.180229127793466,0.098381630632228,0.0429856071351618,0.0141313887937229,0.182631872470733,0.109571185499896,0.839376069540796,0.0359966290528473,0.183145741946944,0.110437011148916,0.050577077947646,0.025669239624804,0.195204782673027
45,0.1153,0.0999871697342333,0.0433862107435639,0.0390200737211416,0.023509230566698,0.176465108901769,0.0911110158037483,0.040696630568363,0.0113470855976249,0.170874946009872,0.0993078123393624,0.796511707246597,0.0294904829060725,0.169125141772652,0.11022144617526,0.0490024008602626,0.0385465492770925,0.181896343073428
46,0.1153,0.0646574239846529,0.0314150586036434,0.0362786661135732,-0.0064474550051042,0.13576230297441,0.0714551713293716,0.0381200951840109,-0.00325884231852842,0.146169184977272,0.0851060208865519,0.842104538913219,0.0112923035542458,0.158919738218858,0.0884648927373678,0.0412736513182129,0.0194478066741459,0.15748197880059
47,0.1153,0.135036956472495,0.0616092960679652,0.0390897031855761,0.0584225460624054,0.211651366882585,0.123238810812138,0.0413828090412676,0.0421299955121548,0.204347626112121,0.126365081128813,0.797658703677189,0.0564472130255639,0.196282949232062,0.139268788169287,0.0607361513578639,0.0550562505000832,0.223481325838491
48,0.1153,0.150501098232334,0.0612541276721396,0.0316497899198123,0.0884686498712432,0.212533546593425,0.131364264661041,0.032952232024028,0.0667790766837382,0.195949452638343,0.137226455934441,0.673045883669451,0.0782313830982774,0.196221528770604,0.135149277101935,0.0541475657572921,0.0707153932004161,0.199583161003454
49,0.1153,0.118163729058261,0.0543735806814582,0.0402732235371661,0.0392296613840852,0.197097796732438,0.119770838843178,0.0413457717343934,0.0387346153307529,0.200807062355603,0.124079589615882,0.817310804225547,0.0524391389497426,0.195720040282021,0.121595779395973,0.0559433996866687,0.0420646442880016,0.201126914503944
50,0.1153,0.157437724672165,0.0643615965569358,0.0365108248723438,0.0858778228765221,0.228997626467808,0.139177633543179,0.03828098960706,0.0641482726207895,0.214206994465569,0.149488452636167,0.711275935077616,0.087142368045711,0.211834537226624,0.1709260786674,0.0687784142898293,0.101703146943534,0.240149010391266
51,0.1153,0.118109859417978,0.0452427198283081,0.0359615185751002,0.0476265781814137,0.188593140654543,0.0889671166377091,0.0422506005333998,0.00615746126705678,0.171776772008362,0.102185584479006,0.791766169090872,0.0327842198052324,0.17158694915278,0.114049407099337,0.044448320161641,0.0424261974675787,0.185672616731095
52,0.1153,0.095334417756575,0.0423671225163576,0.0446178334965553,0.00788507103512175,0.182783764478028,0.088455559209438,0.0441161478157608,0.00198949835390151,0.174921620064974,0.0935107806804834,0.829342761723176,0.0208156824395544,0.166205878921412,0.10755345502259,0.0498374622390338,0.0272874515982239,0.187819458446956
53,0.1153,0.14130563914594,0.0482891819199461,0.0417844584173978,0.059409605534329,0.223201672757551,0.126991025152868,0.0443097114125457,0.0401455866189146,0.21383646368682,0.134351857179053,0.757658518886402,0.0679401598621498,0.200763554495955,0.14907517174318,0.0519250315984649,0.0699406886434297,0.228209654842929
54,0.1153,0.125453616955623,0.0550507702235629,0.0347999320805437,0.0572470034133175,0.193660230497929,0.101926960115237,0.0418932040883376,0.0198177889051093,0.184036131325365,0.120478475844278,0.832778458766794,0.0474822254794761,0.193474726209081,0.121451564438728,0.0528662760449792,0.0528343191547744,0.190068809722681
55,0.1153,0.0859657563186695,0.0300582255239685,0.0401825236643193,0.00720945712867536,0.164722055508664,0.0777716089099487,0.041298573062121,-0.0031721069047045,0.158715324724602,0.0848813288559354,0.804258263443162,0.0143849838337615,0.155377673878109,0.0951167851444228,0.0339694446402094,0.0194565845756907,0.170776985713155
56,0.1153,0.142859518966725,0.0638359223799329,0.0364829498632876,0.0713542511849005,0.214364786748549,0.141001374177365,0.036536936796719,0.0693902939503799,0.212612454404351,0.139909004803151,0.691542972272955,0.0792925906648591,0.200525418941442,0.148226226237241,0.0688296145509271,0.0806662177163293,0.215786234758153
57,0.1153,0.149699158756224,0.0530973932953972,0.0587863159501965,0.0344800967100459,0.264918220802401,0.12016354057136,0.0738165233491033,-0.0245141866568419,0.264841267799563,0.131212454626155,1.21856856649294,0.0244002103491859,0.238024698903124,0.158612859649612,0.0568110128678205,0.0410078863268565,0.276217832972367
58,0.1153,0.179251609450697,0.0761396501579001,0.0349376830315282,0.110775009005626,0.247728209895768,0.158804357178329,0.0382955673272726,0.0837464244493457,0.233862289907312,0.165041161823915,0.70285900702435,0.103432853506381,0.22664947014145,0.175330123670164,0.074464947980634,0.104767223777189,0.245893023563139
59,0.1153,0.146208690412799,0.06320774770018,0.0374119766039834,0.0728825636785363,0.219534817147061,0.102066516910598,0.0434480207615523,0.0169099610184071,0.187223072802789,0.129745789511725,0.766323780658485,0.0625745485117066,0.196917030511744,0.136696802330205,0.0594266091095717,0.0610794281211873,0.212314176539223
60,0.1153,0.134060259753607,0.0447320858308205,0.0517392612989912,0.0326531710208772,0.235467348486337,0.0998931897460277,0.0485434083803103,0.00474985763379983,0.195036521858256,0.105911131533112,0.900424017687413,0.0269854864979092,0.184836776568315,0.152580533529888,0.0606523704872403,0.0793933084758436,0.225767758583932
61,0.1153,0.159213823776819,0.0671814006820831,0.0365498260809549,0.0875774810169441,0.230850166536693,0.156991972292648,0.0367010513144316,0.0850592335216053,0.22892471106369,0.16755046784394,0.695432907256885,0.106593085870805,0.228507849817074,0.176708584555095,0.0787105405062939,0.109800398970766,0.243616770139424
62,0.1153,0.107569916825183,0.0505959226950137,0.0362528108310619,0.0365157132579584,0.178624120392408,0.10408101812466,0.0380769361459116,0.0294515946370422,0.178710441612278,0.112892064093695,0.745014098594049,0.0475886990825353,0.178195429104854,0.106714857855233,0.0503014934754845,0.0363739258759643,0.177055789834502
63,0.1153,0.154058223586437,0.0636247020793819,0.0350213874481497,0.0854175654994407,0.222698881673434,0.130128143945304,0.0381769126323938,0.05530277014488,0.204953517745728,0.140853417138446,0.70227111286912,0.0792966400156626,0.202410194261229,0.153377910493536,0.0603358610906887,0.0804224652292527,0.226333355757819
64,0.1153,0.141840549509669,0.0570735799291784,0.0402715523754419,0.0629097572522846,0.220771341767054,0.107927568471494,0.0502861698263692,0.00936848669134518,0.206486650251642,0.118191557706852,0.883497640724247,0.0407495750281438,0.19563354038556,0.143114661285498,0.0564311072884765,0.0555082598980635,0.230721062672932
65,0.1153,0.130548971390942,0.0610543897520783,0.0370228061948466,0.0579856046424367,0.203112338139448,0.106399413363283,0.0393588430406663,0.0292574985304121,0.183541328196154,0.11997210882451,0.79427485885929,0.0503508477971555,0.189593369851864,0.140913674451216,0.0680377107804592,0.0732063594803019,0.208620989422131
66,0.1153,0.141433849385296,0.0627940959229224,0.036410647874582,0.0700702908973451,0.212797407873246,0.122799740073227,0.0382918797175098,0.0477490349265681,0.197850445219886,0.128531583800007,0.746512855678987,0.063096846938079,0.193966320661934,0.138696402762225,0.0603811058941145,0.0664947064262143,0.210898099098235
67,0.1153,0.115839366466671,0.0494893615065924,0.0361484136393264,0.0449897776353348,0.186688955298007,0.104044094555213,0.037823367494301,0.0299116564923601,0.178176532618066,0.101975907578366,0.715459396313051,0.0392631264427255,0.164688688714006,0.132705011385032,0.0513928528754755,0.0582022721714822,0.207207750598582
